RANDOM FOREST
 ,precision,recall,f1-score,accuracy
0,0.88,0.95,0.91,0.85
1,0.74,0.52,0.61,0.85
XGBOOST
 ,precision,recall,f1-score,accuracy
0,0.88,0.88,0.91,0.86
1,0.73,0.56,0.63,0.86
LSTM
 ,precision,recall,f1-score,accuracy
0,0.82,0.99,0.90,0.82
1,0.90,0.25,0.39,0.82
